Source,Target,IntervalNumber,StartTime,EndTime,Duration,StartOrbit,EndOrbit
WHU,STARLINK-31165,1,2025-05-31 14:03:00,2025-05-31 14:04:00,60,1,1
WHU,STARLINK-31501,1,2025-05-31 14:03:00,2025-05-31 14:04:00,60,1,1
WHU,STARLINK-2615,1,2025-05-31 14:04:00,2025-05-31 14:05:00,60,1,1
WHU,STARLINK-33718,1,2025-05-31 14:05:00,2025-05-31 14:06:00,60,1,1
WHU,STARLINK-4480,1,2025-05-31 14:06:00,2025-05-31 14:07:00,60,1,1
WHU,STARLINK-31176,1,2025-05-31 14:08:00,2025-05-31 14:09:00,60,1,1
WHU,STARLINK-32623,1,2025-05-31 14:09:00,2025-05-31 14:10:00,60,1,1
WHU,STARLINK-30488,1,2025-05-31 14:13:00,2025-05-31 14:14:00,60,1,1
WHU,STARLINK-31180,1,2025-05-31 14:13:00,2025-05-31 14:14:00,60,1,1
WHU,STARLINK-4689,1,2025-05-31 14:15:00,2025-05-31 14:16:00,60,1,1
WHU,STARLINK-1577,1,2025-05-31 14:16:00,2025-05-31 14:17:00,60,1,1
WHU,STARLINK-4433,1,2025-05-31 14:17:00,2025-05-31 14:18:00,60,1,1
WHU,STARLINK-32510,1,2025-05-31 14:17:00,2025-05-31 14:18:00,60,1,1
WHU,STARLINK-30448,1,2025-05-31 14:18:00,2025-05-31 14:19:00,60,1,1
WHU,STARLINK-31156,1,2025-05-31 14:18:00,2025-05-31 14:19:00,60,1,1
WHU,STARLINK-6226,1,2025-05-31 14:20:00,2025-05-31 14:21:00,60,1,1
WHU,STARLINK-31151,1,2025-05-31 14:23:00,2025-05-31 14:24:00,60,1,1
WHU,STARLINK-1183,1,2025-05-31 14:25:00,2025-05-31 14:26:00,60,1,1
WHU,STARLINK-4717,1,2025-05-31 14:26:00,2025-05-31 14:27:00,60,1,1
WHU,STARLINK-31141,1,2025-05-31 14:27:00,2025-05-31 14:28:00,60,1,1
WHU,STARLINK-30468,1,2025-05-31 14:28:00,2025-05-31 14:29:00,60,1,1
WHU,STARLINK-31992,1,2025-05-31 14:31:00,2025-05-31 14:32:00,60,1,1
WHU,STARLINK-3277,1,2025-05-31 14:33:00,2025-05-31 14:34:00,60,1,1
WHU,STARLINK-30452,1,2025-05-31 14:33:00,2025-05-31 14:34:00,60,1,1
WHU,STARLINK-2731,1,2025-05-31 14:34:00,2025-05-31 14:35:00,60,1,1
WHU,STARLINK-31280,1,2025-05-31 14:34:00,2025-05-31 14:35:00,60,1,1
WHU,STARLINK-3901,1,2025-05-31 14:35:00,2025-05-31 14:36:00,60,1,1
WHU,STARLINK-31859,1,2025-05-31 14:35:00,2025-05-31 14:36:00,60,1,1
WHU,STARLINK-31484,1,2025-05-31 14:38:00,2025-05-31 14:39:00,60,1,1
WHU,STARLINK-32077,1,2025-05-31 14:39:00,2025-05-31 14:40:00,60,1,1
WHU,STARLINK-3296,1,2025-05-31 14:40:00,2025-05-31 14:41:00,60,1,1
WHU,STARLINK-5919,1,2025-05-31 14:40:00,2025-05-31 14:41:00,60,1,1
WHU,STARLINK-4768,1,2025-05-31 14:44:00,2025-05-31 14:45:00,60,1,1
WHU,STARLINK-2673,1,2025-05-31 14:45:00,2025-05-31 14:46:00,60,1,1
WHU,STARLINK-2423,1,2025-05-31 14:54:00,2025-05-31 14:55:00,60,1,1
WHU,STARLINK-4686,1,2025-05-31 14:56:00,2025-05-31 14:57:00,60,1,1
